target,baseline,n_control_columns,reduced_r2,full_r2,contribution
wage_per_return_thousands,headcount,1,0.30845398796871537,0.3338956275067002,0.02544163953798484
wage_per_return_thousands,geo,3,0.31609388339483246,0.344279233008039,0.028185349613206512
wage_per_return_thousands,size_full,4,0.649512018296871,0.6556380394994754,0.006126021202604415
wage_growth_log,headcount,2,0.008216881072807047,0.013457136902837785,0.005240255830030738
wage_growth_log,geo,4,0.004183309112301026,0.008110078681093924,0.003926769568792898
wage_growth_log,size_full,5,0.18739295364877018,0.1732797161170252,-0.014113237531744982
