pillar,n_targets,structure,typed,typed_plus_structure,size_nonlinear
B,20,0.0031389541937563935,0.002444640049755814,0.004973595986773549,0.020098277513530854
C,3,0.0013048229145590968,0.001804247103838678,0.0029798992999291083,0.0017661003792368939
D,3,3.6489276001120765e-06,0.0015296615115516128,0.0007880228099625594,0.02106724948937481
E,1,0.0017930206418097505,0.005295595842387146,0.004473431949178486,5.925599263045811e-06
F,1,0.006713098724784761,0.021816960040274447,0.022166321804471867,0.01892370866373161
