target,baseline,block,n_columns,reduced_r2,full_r2,contribution,noise_floor,net_of_noise_floor,ci_low,ci_high,clears_zero
wage_per_return_thousands,headcount,length_only,1,0.30845398796871537,0.3264941124340268,0.018040124465311447,-0.0005491771656263392,0.018589301630937787,0.0029825103272907915,0.032973976089414284,True
wage_per_return_thousands,headcount,sections_only,1,0.30845398796871537,0.30187493714894975,-0.0065790508197656195,-0.0005491771656263392,-0.00602987365413928,-0.010053518224676988,-0.0033082063488498433,False
wage_per_return_thousands,headcount,counts_and_lengths,14,0.30845398796871537,0.3214022718400108,0.01294828387129543,-0.002090760824653204,0.015039044695948633,-0.002864975186452623,0.028376629837584832,False
wage_per_return_thousands,headcount,which_sections,42,0.30845398796871537,0.24827004732928404,-0.06018394063943133,-0.009252543740135214,-0.05093139689929612,-0.08675685857950029,-0.036295885865624426,False
wage_per_return_thousands,headcount,section_mix,8,0.30845398796871537,0.2960224801505934,-0.012431507818121967,-0.0022209497786524666,-0.0102105580394695,-0.020727728631710574,-0.004644732195443396,False
wage_per_return_thousands,headcount,structure,64,0.30845398796871537,0.2501343969849428,-0.058319590983772596,-0.015336252327781944,-0.042983338655990654,-0.08796711218332033,-0.0312436395263314,False
wage_per_return_thousands,headcount,shape_profile,73,0.30845398796871537,0.20041715797389825,-0.10803682999481712,-0.019022000042602055,-0.08901482995221506,-0.1422719567570976,-0.07691933156027955,False
wage_per_return_thousands,headcount,everything_dumb,137,0.30845398796871537,0.22775043567476327,-0.0807035522939521,-0.03645764361109453,-0.04424590868285757,-0.11507903201364252,-0.051191734541666735,False
wage_per_return_thousands,headcount,typed_lexicon,29,0.30845398796871537,0.3338956275067002,0.02544163953798484,-0.007183329975651816,0.03262496951363666,0.004306255719860479,0.04576946004454327,True
wage_per_return_thousands,geo,length_only,1,0.31609388339483246,0.3345850411964305,0.018491157801598046,-0.0005126378176982435,0.01900379561929629,0.004126604796482469,0.03276195425991963,True
wage_per_return_thousands,geo,sections_only,1,0.31609388339483246,0.31021889705747374,-0.005874986337358723,-0.0005126378176982435,-0.00536234851966048,-0.009708888540889877,-0.0023228629714680733,False
wage_per_return_thousands,geo,counts_and_lengths,14,0.31609388339483246,0.3270074265637447,0.010913543168912243,-0.0027903506225721944,0.013703893791484437,-0.004265522593135212,0.02589901514397905,False
wage_per_return_thousands,geo,which_sections,42,0.31609388339483246,0.27162502480903683,-0.044468858585795634,-0.006807552259406102,-0.03766130632638953,-0.06981728200722223,-0.02179569683633849,False
wage_per_return_thousands,geo,section_mix,8,0.31609388339483246,0.30550309129554154,-0.010590792099290924,-0.0021254497508991963,-0.008465342348391728,-0.019485707124257404,-0.002173530214739881,False
wage_per_return_thousands,geo,structure,64,0.31609388339483246,0.2714242839772061,-0.04466959941762638,-0.01386695978605712,-0.030802639631569262,-0.07130715400803504,-0.020185903169758504,False
wage_per_return_thousands,geo,shape_profile,73,0.31609388339483246,0.22997567877831382,-0.08611820461651865,-0.018387419802511462,-0.06773078481400718,-0.11695957284360131,-0.05704901083970542,False
wage_per_return_thousands,geo,everything_dumb,137,0.31609388339483246,0.2514177820709157,-0.06467610132391677,-0.03591573334526236,-0.02876036797865441,-0.09545403585390184,-0.03715909422325019,False
wage_per_return_thousands,geo,typed_lexicon,29,0.31609388339483246,0.344279233008039,0.028185349613206512,-0.009357169848727698,0.03754251946193421,0.008257329452666953,0.04757752751372566,True
wage_growth_log,headcount,length_only,1,0.008216881072807047,0.007120039610075457,-0.0010968414627315903,-0.0010153638274189951,-8.147763531259522e-05,-0.0022291615373591115,5.778963970022579e-05,False
wage_growth_log,headcount,sections_only,1,0.008216881072807047,0.0054195099833372895,-0.002797371089469758,-0.0010153638274189951,-0.0017820072620507628,-0.005784043047870671,0.00010087163629782102,False
wage_growth_log,headcount,counts_and_lengths,14,0.008216881072807047,0.004445328423434813,-0.003771552649372234,-0.008139825926187486,0.004368273276815252,-0.010462457691482904,0.0025737917146590465,False
wage_growth_log,headcount,which_sections,42,0.008216881072807047,-0.05842444808136271,-0.06664132915416976,-0.013623360416752347,-0.05301796873741741,-0.08848630333182331,-0.04617568063493388,False
wage_growth_log,headcount,section_mix,8,0.008216881072807047,-0.0028864285445706628,-0.01110330961737771,-0.0049483150273663306,-0.00615499459001138,-0.018104047171185432,-0.003926146792275618,False
wage_growth_log,headcount,structure,64,0.008216881072807047,-0.059148036504705015,-0.06736491757751206,-0.01134880446085836,-0.0560161131166537,-0.089078134876913,-0.046294507863080966,False
wage_growth_log,headcount,shape_profile,73,0.008216881072807047,-0.05938347946276812,-0.06760036053557517,-0.024588088901789724,-0.043012271633785445,-0.08887355712779842,-0.047459057061062584,False
wage_growth_log,headcount,everything_dumb,137,0.008216881072807047,-0.06718099141215617,-0.07539787248496321,-0.02908987442134862,-0.04630799806361459,-0.10061714673958559,-0.051863581640187784,False
wage_growth_log,headcount,typed_lexicon,29,0.008216881072807047,0.013457136902837785,0.005240255830030738,-0.016654026789154657,0.021894282619185395,-0.009791052083311692,0.019260691096503746,False
wage_growth_log,geo,length_only,1,0.004183309112301026,0.0033325449057621803,-0.0008507642065388454,-0.0006577515382726699,-0.00019301266826617558,-0.0018653712803621797,9.521008639436064e-05,False
wage_growth_log,geo,sections_only,1,0.004183309112301026,0.0036180333878557125,-0.0005652757244453133,-0.0006577515382726699,9.247581382735659e-05,-0.003721071402644066,0.0024582946537918026,False
wage_growth_log,geo,counts_and_lengths,14,0.004183309112301026,0.0018972487901947055,-0.0022860603221063203,-0.007078122037961987,0.004792061715855667,-0.009132867167459952,0.0043839170670674655,False
wage_growth_log,geo,which_sections,42,0.004183309112301026,-0.0691169460905876,-0.07330025520288863,-0.01720100587025597,-0.05609924933263266,-0.09513158896589638,-0.05252790025231146,False
wage_growth_log,geo,section_mix,8,0.004183309112301026,-0.007840019502808993,-0.012023328615110018,-0.0037364330231807186,-0.0082868955919293,-0.018580821129036425,-0.005550361161652279,False
wage_growth_log,geo,structure,64,0.004183309112301026,-0.07233209764297954,-0.07651540675528057,-0.010270416705852973,-0.06624499004942759,-0.09865785429861636,-0.05520747696443655,False
