pillar,column,variant,tier,n,r2_baseline,lift
B,lq_emp_23,extracted_min,rich,617,0.06114023931762469,-0.003998427628641998
B,lq_emp_23,extracted_mid,stub,239,0.018393268247116956,-0.0020174367485229494
B,lq_emp_23,extracted_mid,thin,1005,0.10185607095902505,1.1149171341484632e-05
B,lq_emp_23,extracted_mid,mid,608,0.14455780742078284,0.002782111586388636
B,lq_emp_23,extracted_mid,rich,617,0.06114023931762469,-0.0009261994735767498
B,lq_emp_23,extracted_full,stub,239,0.018393268247116956,-0.0004691085374716186
B,lq_emp_23,extracted_full,thin,1005,0.10185607095902505,0.0002826335265136981
B,lq_emp_23,extracted_full,mid,608,0.14455780742078284,0.0008724415177662204
B,lq_emp_23,extracted_full,rich,617,0.06114023931762469,-0.0015785500026651578
B,lq_emp_23,extracted_sections,stub,239,0.018393268247116956,-0.0006920161468769725
B,lq_emp_23,extracted_sections,thin,1005,0.10185607095902505,-2.427345138600323e-05
B,lq_emp_23,extracted_sections,mid,608,0.14455780742078284,0.0013104905089121877
B,lq_emp_23,extracted_sections,rich,617,0.06114023931762469,-0.00027790424578011397
B,lq_emp_23,sections_x_tier,stub,239,0.018393268247116956,0.00016037781895483771
B,lq_emp_23,sections_x_tier,thin,1005,0.10185607095902505,-3.8260944543622166e-05
B,lq_emp_23,sections_x_tier,mid,608,0.14455780742078284,0.0003766479565350256
B,lq_emp_23,sections_x_tier,rich,617,0.06114023931762469,-0.00017769765828590245
B,lq_emp_23,pca50,stub,239,0.018393268247116956,0.0007070361501789746
B,lq_emp_23,pca50,thin,1005,0.10185607095902505,-0.00010668210221620456
B,lq_emp_23,pca50,mid,608,0.14455780742078284,0.0007253927110612013
B,lq_emp_23,pca50,rich,617,0.06114023931762469,-0.0005521208600328675
B,lq_emp_23,full,stub,239,0.018393268247116956,-0.00034404601632143095
B,lq_emp_23,full,thin,1005,0.10185607095902505,0.0008467196827522949
B,lq_emp_23,full,mid,608,0.14455780742078284,-0.00029775475154747433
B,lq_emp_23,full,rich,617,0.06114023931762469,0.0016177931012648639
B,lq_emp_31-33,length,stub,239,0.19056849008674137,0.009121027452958619
B,lq_emp_31-33,length,thin,1041,0.17825217698356255,4.942646187744426e-05
B,lq_emp_31-33,length,mid,644,0.1935351473245689,-0.0007350116884030644
B,lq_emp_31-33,length,rich,646,0.2349043233465703,0.00879954269592187
B,lq_emp_31-33,extracted_min,stub,239,0.19056849008674137,0.004311205228367809
B,lq_emp_31-33,extracted_min,thin,1041,0.17825217698356255,0.001705127147466734
B,lq_emp_31-33,extracted_min,mid,644,0.1935351473245689,0.00045253526039168435
B,lq_emp_31-33,extracted_min,rich,646,0.2349043233465703,0.005984667398870158
B,lq_emp_31-33,extracted_mid,stub,239,0.19056849008674137,0.004667427992180229
B,lq_emp_31-33,extracted_mid,thin,1041,0.17825217698356255,0.0052445738664529395
B,lq_emp_31-33,extracted_mid,mid,644,0.1935351473245689,0.0034379141090877807
B,lq_emp_31-33,extracted_mid,rich,646,0.2349043233465703,0.00907235606931589
B,lq_emp_31-33,extracted_full,stub,239,0.19056849008674137,0.003024486015191785
B,lq_emp_31-33,extracted_full,thin,1041,0.17825217698356255,0.0005973405422833311
B,lq_emp_31-33,extracted_full,mid,644,0.1935351473245689,-0.00044794012290627627
B,lq_emp_31-33,extracted_full,rich,646,0.2349043233465703,0.0017235358041811644
B,lq_emp_31-33,extracted_sections,stub,239,0.19056849008674137,0.00498594136026731
B,lq_emp_31-33,extracted_sections,thin,1041,0.17825217698356255,0.0064720860146006975
B,lq_emp_31-33,extracted_sections,mid,644,0.1935351473245689,0.007958347447881486
B,lq_emp_31-33,extracted_sections,rich,646,0.2349043233465703,0.0035569999374716055
B,lq_emp_31-33,sections_x_tier,stub,239,0.19056849008674137,0.007841614869104174
B,lq_emp_31-33,sections_x_tier,thin,1041,0.17825217698356255,0.004753051528952668
B,lq_emp_31-33,sections_x_tier,mid,644,0.1935351473245689,0.007492324381536797
B,lq_emp_31-33,sections_x_tier,rich,646,0.2349043233465703,0.004364391581451743
B,lq_emp_31-33,pca50,stub,239,0.19056849008674137,0.0034724799114232985
B,lq_emp_31-33,pca50,thin,1041,0.17825217698356255,0.0006798976602371276
B,lq_emp_31-33,pca50,mid,644,0.1935351473245689,0.001482569122672861
B,lq_emp_31-33,pca50,rich,646,0.2349043233465703,0.0006556530551267148
B,lq_emp_31-33,full,stub,239,0.19056849008674137,0.004122765072172019
B,lq_emp_31-33,full,thin,1041,0.17825217698356255,0.0009803103217964626
B,lq_emp_31-33,full,mid,644,0.1935351473245689,0.0031291165887380457
B,lq_emp_31-33,full,rich,646,0.2349043233465703,0.002614739619809958
B,lq_emp_42,length,stub,208,0.2526018307318544,-0.00044220794958838017
B,lq_emp_42,length,thin,954,0.22949184772389453,-0.00013889775861097853
B,lq_emp_42,length,mid,592,0.24885965494238704,4.0596454300767526e-05
B,lq_emp_42,length,rich,592,-0.0512593068572158,-0.00043903248446519605
B,lq_emp_42,extracted_min,stub,208,0.2526018307318544,0.0007671122695280808
B,lq_emp_42,extracted_min,thin,954,0.22949184772389453,0.0001201735615908861
B,lq_emp_42,extracted_min,mid,592,0.24885965494238704,0.0009358585053379498
B,lq_emp_42,extracted_min,rich,592,-0.0512593068572158,-0.004578997723005962
B,lq_emp_42,extracted_mid,stub,208,0.2526018307318544,0.0002541276700850359
B,lq_emp_42,extracted_mid,thin,954,0.22949184772389453,0.00035155652500507006
B,lq_emp_42,extracted_mid,mid,592,0.24885965494238704,-0.0010017684300900331
B,lq_emp_42,extracted_mid,rich,592,-0.0512593068572158,-0.0001344336784228073
B,lq_emp_42,extracted_full,stub,208,0.2526018307318544,0.0011693569129422876
B,lq_emp_42,extracted_full,thin,954,0.22949184772389453,0.0011268121040719503
B,lq_emp_42,extracted_full,mid,592,0.24885965494238704,0.0025626066389031754
B,lq_emp_42,extracted_full,rich,592,-0.0512593068572158,-0.0027427894504918893
B,lq_emp_42,extracted_sections,stub,208,0.2526018307318544,0.00029772020125184984
