pillar,n_targets,lift_shape_v1_linear,lift_shape_v1_flexbase,lift_shape_v1_linear_boost,lift_shape_v1_flexbase_boost,lift_shape_v2_linear,lift_shape_v2_flexbase,lift_shape_v2_linear_boost,lift_shape_v2_flexbase_boost,lift_typed_linear,lift_typed_flexbase,lift_typed_linear_boost,lift_typed_flexbase_boost,lift_typed_plus_shape_v2_linear,lift_typed_plus_shape_v2_flexbase,lift_typed_plus_shape_v2_linear_boost,lift_typed_plus_shape_v2_flexbase_boost,lift_size_nonlinear_linear,lift_size_nonlinear_flexbase,lift_size_nonlinear_linear_boost,lift_size_nonlinear_flexbase_boost
B,20,0.0031389541937563935,0.0008618033902763778,-0.06829945373094594,-0.06879138048367109,0.002869469042933492,0.0009835911274824305,-0.058605898926801306,-0.05922868532971073,0.002444640049755814,0.0016234549891202433,-0.061884806577218766,-0.06251127103674374,0.005557686117838861,0.002482260373363421,-0.0544934417033214,-0.05613968751424474,0.020098277513530854,5.5434744195004273e-08,-0.04412482571177683,-0.07297795846867558
C,3,0.0013048229145590968,0.0006478570796237445,-0.04018438703406354,-0.03701876569957049,0.0014060651149934156,0.0009243788632408156,-0.03537665643265531,-0.031238665694906593,0.001804247103838678,0.0010006345618675712,-0.0457386638122577,-0.04652378137725784,0.0028831057350639697,0.002189429158759896,-0.02804629521708864,-0.03026407320942807,0.0017661003792368939,1.2539761980641848e-07,-0.041927503875938764,-0.05267993620292599
D,3,3.6489276001120765e-06,2.880488980006035e-06,-0.02621455417808301,-0.032354183617801326,4.5198104080953115e-05,2.4682049713620202e-05,-0.020128087734522238,-0.027279783820188513,0.0015296615115516128,0.001023553300786073,-0.041478886831346484,-0.03654507496564707,0.0005540346003958252,0.00018738455430652076,-0.01444274779749303,-0.017869558702205707,0.02106724948937481,2.0694453502686136e-07,-0.016384121466243795,-0.037253437524778686
E,1,0.0017930206418097505,0.0007486374859099199,-0.03587551332332228,-0.030687507789043833,0.0015151006806271017,-9.042842885298441e-05,-0.03150103278839067,-0.04089515523812992,0.005295595842387146,0.003108211181168996,-0.022791246868801407,-0.022991505765689202,0.004445676200705684,0.002490397959989177,-0.020455394110873937,-0.03709689690192264,5.925599263045811e-06,2.5952446047750044e-07,0.06477702801224727,-0.003441861436376592
F,1,0.006713098724784761,0.0006084135871298191,-0.04174640561688214,-0.046411346019732624,0.009462674620205558,0.0011202543850414859,-0.018466464655251147,-0.019753915419806978,0.021816960040274447,0.0034712999035890757,-0.023864354047146596,-0.04861234142729631,0.017780974083004164,0.0037417103777250826,-0.0016198445600972278,-0.008373723832935331,0.01892370866373161,-3.184577648251974e-07,0.0697795324897259,0.01202675736509784
