pillar,n_targets,length,extracted_min,extracted_mid,extracted_full,extracted_sections,sections_x_tier,sections_per_tier,pca50,full
B,20,0.0009645457858396767,0.0020665878383206437,0.0016927447716383105,0.0018450136909595072,0.002444640049755814,0.00269060929620592,-6.625951225999182e-05,0.0018335343563677553,0.002693031519289235
C,3,0.0008210497886857645,0.0017592899729615603,0.002355049171592053,0.0016409679738607446,0.001804247103838678,0.000130344445899692,0.0016981105422988845,0.0006589590695330605,0.002082111938194594
D,3,0.0007458124576537791,0.0005935763633643601,0.0023066869537844794,0.0014482992802351546,0.0015296615115516128,0.0033091561840157637,0.0036820133072741346,0.00034051867642185635,0.0016292317265384308
E,1,0.00043323299151065697,0.002891397283133812,0.0025758907603355974,0.004507265813322392,0.005295595842387146,0.0015005343768925705,0.0016481694984069595,0.0004740258262618813,0.0025177034376657748
F,1,0.008512929091124,0.021471849895127737,0.019174233488611248,0.02157778691928569,0.021816960040274447,0.01242853633417862,0.01821576347352527,0.005851933571960788,0.01112227520446818
