tier,n_counties,median_content_length,median_population,mean_wage,median_wage,mean_growth,median_growth,n_growth
stub,294,69.5,15848.0,41.009913732177495,40.81226033057851,0.1541275910655723,0.15449886717559846,294
thin,1274,191.0,20609.0,43.31231480169748,41.82859384974698,0.15547442380888593,0.15638273284395887,1268
mid,788,354.0,30861.0,44.735605113900036,42.65350160532049,0.15296553048691122,0.1536108788067425,785
rich,787,686.0,58785.0,50.64919968778645,46.390107737512245,0.1570927722415756,0.15665522171047735,785
