county_name,fips_code,total_tons,mean_partner_hhi,tons_quartile,unemployment_velocity,gdp_velocity_pct
"Autauga County, Alabama",01001,6122.019016599999,0.019195002361125788,3,0.06666666666666658,0.0037532818700463837
"Baldwin County, Alabama",01003,19894.414710599995,0.12547224407185623,4,0.09999999999999994,0.04934252500125054
"Barbour County, Alabama",01005,2937.918544,0.018331609233520722,2,0.0,-0.004151565808536721
"Bibb County, Alabama",01007,4047.5179859,0.04959643941428343,2,0.10000000000000009,0.010741038578014431
"Blount County, Alabama",01009,5011.4368537,0.06983313762511367,3,0.09999999999999994,0.04021506968658413
"Bullock County, Alabama",01011,1055.3053897,0.019158641042763408,1,0.09999999999999994,0.03356508766235615
"Butler County, Alabama",01013,2847.8189476999996,0.019444679169364293,2,0.0,0.02948236098060989
"Calhoun County, Alabama",01015,14053.796222599998,0.01638443322417214,4,0.16666666666666666,0.016805130767399173
"Chambers County, Alabama",01017,5021.3422517,0.018124893223083704,3,0.10000000000000009,0.038878603098800486
"Cherokee County, Alabama",01019,1920.9812482000002,0.019492873246842443,1,0.09999999999999994,0.01917358226867555
"Chilton County, Alabama",01021,5470.2386367,0.06626538322072417,3,0.10000000000000009,0.0426876866639924
"Choctaw County, Alabama",01023,3191.8608833999997,0.01625004869525615,2,0.20000000000000004,-0.012021919168546691
"Clarke County, Alabama",01025,6506.8667746,0.01722643693468012,3,0.2333333333333334,-0.003990684670332658
"Clay County, Alabama",01027,1721.3854253,0.01869547645452787,1,0.16666666666666666,-0.008810346077314995
"Cleburne County, Alabama",01029,1507.2548063,0.021307153448916837,1,0.10000000000000009,0.044233009917257746
"Coffee County, Alabama",01031,4482.3587809,0.018192817328398413,3,0.13333333333333344,0.03759523827841505
"Colbert County, Alabama",01033,10401.498331899998,0.01750232996793128,4,0.13333333333333344,0.0291508109187056
"Conecuh County, Alabama",01035,2729.3280821,0.017739826633460035,2,0.16666666666666652,0.012149803122366054
"Coosa County, Alabama",01037,1262.9019638,0.06623881788896127,1,0.20000000000000004,0.01616064494656263
"Covington County, Alabama",01039,5991.2570135999995,0.016287118700278668,3,0.1333333333333333,0.003755545840025749
"Crenshaw County, Alabama",01041,1926.1846243999998,0.01901475457356975,1,0.03333333333333336,0.05253301182914158
"Cullman County, Alabama",01043,10036.741934000001,0.07095354136679789,4,0.1333333333333333,0.024661612069004836
"Dale County, Alabama",01045,3166.113306,0.019319306225386596,2,0.13333333333333344,0.02127652970611067
"Dallas County, Alabama",01047,5228.1531071,0.017552931230367975,3,0.033333333333333215,0.013703825920067969
"DeKalb County, Alabama",01049,7642.750426499999,0.016060874515755035,3,0.09999999999999994,0.034017083620821634
"Elmore County, Alabama",01051,7225.452117500001,0.016921084544738774,3,0.06666666666666658,0.05012377391691652
"Escambia County, Alabama",01053,7551.108549199999,0.017877805308409954,3,0.03333333333333336,0.02354986285693759
"Etowah County, Alabama",01055,9263.9165012,0.01682971689635522,3,0.09999999999999994,0.021096005250447365
"Fayette County, Alabama",01057,2032.6502307,0.020469405836741644,2,0.06666666666666658,0.01912913296168471
"Franklin County, Alabama",01059,5545.081203400001,0.01750883559869655,3,0.13333333333333344,0.018551920760161933
"Geneva County, Alabama",01061,1749.2285397999997,0.019648583797002107,1,0.13333333333333344,0.01694189791570714
"Greene County, Alabama",01063,1233.9986427000001,0.021472896037644865,1,0.5333333333333332,0.02739865647440352
"Hale County, Alabama",01065,3910.2552938999997,0.020447183147147437,2,0.0,0.03319936069195694
"Henry County, Alabama",01067,2186.4478078,0.018277678573383336,2,0.1333333333333333,0.032668612662383925
"Houston County, Alabama",01069,14768.1826833,0.014467205365763394,4,0.09999999999999994,0.012529665310499063
"Jackson County, Alabama",01071,6762.257777000001,0.016997066261536305,3,0.19999999999999987,0.020865132802724843
"Jefferson County, Alabama",01073,103148.83384839998,0.051100489935557464,4,0.1333333333333333,0.020556360989416416
"Lamar County, Alabama",01075,3866.2123131999997,0.021117550578693883,2,0.13333333333333344,0.0003945215614396003
"Lauderdale County, Alabama",01077,10557.023571,0.016847915219939634,4,0.16666666666666666,0.026488817336975164
"Lawrence County, Alabama",01079,3860.2808434,0.019836167815999037,2,0.09999999999999994,0.023515323963365274
"Lee County, Alabama",01081,15213.2134466,0.016234581446342607,4,0.09999999999999994,0.02718773161456324
"Limestone County, Alabama",01083,9746.3478672,0.017467786972824424,3,0.16666666666666666,0.04946563141563794
"Lowndes County, Alabama",01085,1259.0078331,0.021991740586406808,1,0.10000000000000024,0.036674611281352854
"Macon County, Alabama",01087,1402.3067136,0.018855150159707214,1,0.0,0.03660359767467369
"Madison County, Alabama",01089,36743.63353769999,0.018145492736978054,4,0.09999999999999994,0.04469425859332809
"Marengo County, Alabama",01091,4807.3747979,0.01845442199152797,3,0.10000000000000009,0.0127442634087323
"Marion County, Alabama",01093,3980.396243,0.019797272325304968,2,0.20000000000000004,0.014363799402441367
"Marshall County, Alabama",01095,13397.641330400002,0.015312742320938134,4,0.09999999999999994,0.025900894556884213
"Mobile County, Alabama",01097,117044.5260681,0.05098232629380374,4,0.09999999999999994,0.031630818068828816
"Monroe County, Alabama",01099,4144.6995935,0.01769637911357824,2,0.4333333333333334,-0.008499070224235064
"Montgomery County, Alabama",01101,25042.8635727,0.01682108854727377,4,0.0,0.029703364394576503
"Morgan County, Alabama",01103,16944.0647907,0.016500004290547245,4,0.06666666666666658,0.03318545130959818
"Perry County, Alabama",01105,1124.7692538,0.0200853555390585,1,0.033333333333333215,0.01856503696127047
"Pickens County, Alabama",01107,2648.1803154,0.018388305562625877,2,0.20000000000000004,-0.002601502282501185
"Pike County, Alabama",01109,3908.0976237,0.01939424240143086,2,0.13333333333333344,0.02137486597251903
"Randolph County, Alabama",01111,2109.9195793,0.02045474876162952,2,0.2666666666666666,0.013159404305757596
"Russell County, Alabama",01113,5411.7930141,0.01756016654394173,3,0.2666666666666666,0.029790941954071302
"St. Clair County, Alabama",01115,9302.5111756,0.06574015840082359,3,0.06666666666666658,0.04107328885462611
"Shelby County, Alabama",01117,26173.173675399998,0.07042537501007567,4,0.1333333333333334,0.009312739922139305
"Sumter County, Alabama",01119,1664.6434265,0.020590876024704476,1,0.2666666666666668,0.02611246132372893
"Talladega County, Alabama",01121,11633.431669500002,0.06161820010275898,4,0.03333333333333336,0.04594643491191668
"Tallapoosa County, Alabama",01123,5487.0541127,0.0619906772191202,3,0.03333333333333336,0.021922374522671994
"Tuscaloosa County, Alabama",01125,105731.6395563,0.02191415039883262,4,0.1333333333333333,0.026737417273125792
"Walker County, Alabama",01127,10167.4239279,0.06039235574227812,4,0.09999999999999994,0.04765726517271436
"Washington County, Alabama",01129,5217.5236702,0.01883558662865248,3,-0.19999999999999987,0.05619487888748899
"Wilcox County, Alabama",01131,1482.2640221000001,0.021892648179600113,1,0.06666666666666643,0.022732422347833806
"Winston County, Alabama",01133,6692.250097499999,0.01782553717966239,3,0.20000000000000004,-0.001052049750446402
"Aleutians East Borough, Alaska",02013,1222.7003632,0.09921710754966231,1,0.2666666666666666,-0.07873688630261741
"Aleutians West Census Area, Alaska",02016,1729.0443684000002,0.08871981609322505,1,-0.03333333333333336,0.04911243692393251
"Anchorage Municipality, Alaska",02020,24098.4016673,0.12807204452770873,4,0.06666666666666658,0.02622671736132714
