target,model,model_label,n,n_predictors,r2_change,withheld_pillars,reference_model,noise_share_of_change,mostly_noise,change_sd,contribution,lift_over_lagged_size,lift_over_lagged,lift_over_lagged_size_geo
broadband_rate,fixed_effect,intercept only (= a geographic fixed effect's prediction of change),3135,1,-0.0022874052751766794,,,0.6561639238815394,False,0.03929399427011974,,-0.5033749547297854,-0.5034253055561912,-0.5045202576997508
broadband_rate,lagged,the county's own early-vintage level,3135,1,0.5011379002810146,,,0.6561639238815394,False,0.03929399427011974,,5.035082640580946e-05,0.0,-0.001094952143559591
broadband_rate,lagged_size,lagged + county size,3135,4,0.5010875494546088,,,0.6561639238815394,False,0.03929399427011974,,0.0,-5.035082640580946e-05,-0.0011453029699654005
broadband_rate,lagged_size_geo,lagged + size + lat/lon,3135,6,0.5022328524245742,,,0.6561639238815394,False,0.03929399427011974,,0.0011453029699654005,0.001094952143559591,0.0
broadband_rate,lagged_size_emacro,lagged + size + E_macro pillars,3135,122,0.4677026895770914,,,0.6561639238815394,False,0.03929399427011974,,-0.03338485987751738,-0.03343521070392319,-0.03453016284748278
broadband_rate,lagged_size_geo_emacro,lagged + size + lat/lon + E_macro pillars,3135,124,0.46444380771660776,,,0.6561639238815394,False,0.03929399427011974,,-0.036643741738001,-0.03669409256440681,-0.0377890447079664
broadband_rate,lagged_size_emacro_drop_A,"lagged + size + E_macro pillars, Source A withheld",3135,93,0.4735085575266277,A,lagged_size_emacro,0.6561639238815394,False,0.03929399427011974,-0.005805867949536303,-0.027578991927981078,-0.027629342754386887,-0.02872429489794648
broadband_rate,lagged_size_emacro_drop_B,"lagged + size + E_macro pillars, Source B withheld",3135,82,0.4946289454353774,B,lagged_size_emacro,0.6561639238815394,False,0.03929399427011974,-0.026926255858286008,-0.006458604019231373,-0.006508954845637183,-0.007603906989196774
broadband_rate,lagged_size_emacro_drop_C,"lagged + size + E_macro pillars, Source C withheld",3135,118,0.471130055049659,C,lagged_size_emacro,0.6561639238815394,False,0.03929399427011974,-0.0034273654725676117,-0.02995749440494977,-0.03000784523135558,-0.03110279737491517
broadband_rate,lagged_size_emacro_drop_D,"lagged + size + E_macro pillars, Source D withheld",3135,107,0.4662840870258339,D,lagged_size_emacro,0.6561639238815394,False,0.03929399427011974,0.0014186025512574751,-0.034803462428774856,-0.034853813255180666,-0.03594876539874026
broadband_rate,lagged_size_emacro_drop_E,"lagged + size + E_macro pillars, Source E withheld",3135,112,0.4691026495165568,E,lagged_size_emacro,0.6561639238815394,False,0.03929399427011974,-0.0013999599394654005,-0.03198489993805198,-0.03203525076445779,-0.03313020290801738
broadband_rate,lagged_size_emacro_drop_F,"lagged + size + E_macro pillars, Source F withheld",3135,102,0.4689433078950951,F,lagged_size_emacro,0.6561639238815394,False,0.03929399427011974,-0.0012406183180037056,-0.032144241559513675,-0.032194592385919485,-0.033289544529479076
median_household_income,fixed_effect,intercept only (= a geographic fixed effect's prediction of change),3133,1,-0.0007365803212444622,,,1.1176310447781836,True,4904.615207549164,,-0.09721292730399089,-0.1056042125735227,-0.06307648797772925
