pillar,n_targets,thin_length,crowded_length,thin_extracted_sections,crowded_extracted_sections,retained_length,retained_extracted_sections
B,20,0.0012245328871440865,0.0007472373917985498,0.003055282926801417,0.0009210776513930152,0.6102223955301782,0.3014704933913579
C,3,0.0007829720298919337,0.00012608931458824024,0.0018822831410254166,0.0012739759698038682,0.16103935999558397,0.6768248315234023
D,3,0.0015779128603568375,0.00016028237505801476,0.002163309414463336,0.001324818426832593,0.10157872407590851,0.6124035785057812
E,1,0.0010759674749258874,9.130570008952787e-06,0.0064034498591178934,-1.675325600647426e-05,0.008485916369899286,-0.0026162859669494
F,1,0.00880872160435231,0.0006754402214638189,0.02232602769948866,0.0031781249858610083,0.07667857514421729,0.14235066930127468
