target,target_label,model,model_label,n,n_predictors,r2_out_of_state,r2_ablated,ablated_columns,withheld_pillars,reference_model,rmse,lift_over_size,lift_over_size_ablated,lift_over_grand_mean,contribution,contribution_ablated
median_household_income,median household income,size_emacro_drop_F_no_ametro,"size + E_macro pillars, Source F and A's metro restatement both withheld",3142,100,0.8236674603541094,0.7165067345989313,wage_per_return_thousands,F,size_emacro_no_ametro,7300.110255130677,0.24471812558476191,0.13755739982958382,0.8314797006047778,0.0023650873891923885,0.01623961046835931
median_age,median age,grand_mean,intercept only (= fixed effect on an unseen unit),3144,1,-0.004487832062386676,-0.004487832062386676,,,,5.418402504061486,-0.23160655450554724,-0.23160655450554724,0.0,,
median_age,median age,size,county size only,3144,3,0.22711872244316056,0.22711872244316056,,,,4.752863225575061,0.0,0.0,0.23160655450554724,,
median_age,median age,emacro,E_macro pillars only,3144,118,0.48043376317394004,0.4694682165871841,retirement_destination,,,3.896901099624577,0.2533150407307795,0.24234949414402351,0.4849215952363267,,
median_age,median age,size_emacro,size + E_macro pillars,3144,121,0.48334016018485204,0.46590574127577133,retirement_destination,,,3.885986393874161,0.2562214377416915,0.23878701883261078,0.4878279922472387,,
median_age,median age,size_emacro_drop_A,"size + E_macro pillars, Source A withheld",3144,92,0.46692589422307706,0.4589453885101371,retirement_destination,A,size_emacro,3.947232579351115,0.2398071717799165,0.23182666606697655,0.47141372628546374,0.016414265961774976,0.006960352765634226
median_age,median age,size_emacro_drop_B,"size + E_macro pillars, Source B withheld",3144,81,0.4755365698510652,0.4705438627754126,retirement_destination,B,size_emacro,3.915223229134529,0.24841784740790462,0.24342514033225204,0.48002440191345186,0.007803590333786858,-0.004638121499641268
median_age,median age,size_emacro_drop_C,"size + E_macro pillars, Source C withheld",3144,117,0.4729319979735125,0.45386426008206415,retirement_destination,C,size_emacro,3.9249330110557454,0.24581327553035193,0.2267455376389036,0.47741983003589916,0.010408162211339556,0.012041481193707182
median_age,median age,size_emacro_drop_D,"size + E_macro pillars, Source D withheld",3144,106,0.4523693011659684,0.4414878598863037,retirement_destination,D,size_emacro,4.00076291605939,0.22525057872280785,0.21436913744314312,0.4568571332283551,0.030970859018883634,0.024417881389467655
median_age,median age,size_emacro_drop_E,"size + E_macro pillars, Source E withheld",3144,111,0.4352471241258644,0.4354464102758201,retirement_destination,E,size_emacro,4.06282530487905,0.20812840168270386,0.20832768783265954,0.4397349561882511,0.048093036058987626,0.03045933099995124
median_age,median age,size_emacro_drop_F,"size + E_macro pillars, Source F withheld",3144,101,0.3569594929313704,0.3569594929313704,retirement_destination,F,size_emacro,4.33528934955189,0.12984077048820986,0.12984077048820986,0.3614473249937571,0.12638066725348163,0.10894624834440092
median_age,median age,size_emacro_drop_BE,"size + E_macro pillars, Sources B and E both withheld",3144,71,0.441871921029094,0.4417040180966456,retirement_destination,B;E,size_emacro,4.038925655718879,0.21475319858593345,0.21458529565348505,0.4463597530914807,0.041468239155758035,0.024201723179125723
median_age,median age,size_emacro_no_ametro,"size + E_macro pillars, Source A's metro restatement withheld",3144,120,0.48246318852779035,0.46545440711014285,retirement_destination,,size_emacro,3.889283006809279,0.2553444660846298,0.2383356846669823,0.48695102059017703,0.000876971657061687,0.00045133416562848083
median_age,median age,size_emacro_drop_F_no_ametro,"size + E_macro pillars, Source F and A's metro restatement both withheld",3144,100,0.35516325593488673,0.35516325593488673,retirement_destination,F,size_emacro_no_ametro,4.3413401165863705,0.12804453349172618,0.12804453349172618,0.3596510879972734,0.12729993259290362,0.11029115117525612
median_home_value,median owner-occupied home value,grand_mean,intercept only (= fixed effect on an unseen unit),3138,1,-0.011099294877415344,-0.011099294877415344,,,,135684.27658122595,-0.49862742423319173,-0.49862742423319173,0.0,,
median_home_value,median owner-occupied home value,size,county size only,3138,3,0.4875281293557764,0.4875281293557764,,,,96597.88902943229,0.0,0.0,0.49862742423319173,,
median_home_value,median owner-occupied home value,emacro,E_macro pillars only,3138,118,0.7064798014241119,0.7064798014241119,,,,73105.76330962761,0.21895167206833555,0.21895167206833555,0.7175790963015273,,
median_home_value,median owner-occupied home value,size_emacro,size + E_macro pillars,3138,121,0.7210179245156819,0.7210179245156819,,,,71272.29937692429,0.23348979515990553,0.23348979515990553,0.7321172193930973,,
median_home_value,median owner-occupied home value,size_emacro_drop_A,"size + E_macro pillars, Source A withheld",3138,92,0.7235286519914612,0.7235286519914612,,A,size_emacro,70950.86340106366,0.23600052263568483,0.23600052263568483,0.7346279468688766,-0.0025107274757792952,-0.0025107274757792952
median_home_value,median owner-occupied home value,size_emacro_drop_B,"size + E_macro pillars, Source B withheld",3138,81,0.7226358225176253,0.7226358225176253,,B,size_emacro,71065.33450647144,0.23510769316184887,0.23510769316184887,0.7337351173950406,-0.0016178980019433409,-0.0016178980019433409
median_home_value,median owner-occupied home value,size_emacro_drop_C,"size + E_macro pillars, Source C withheld",3138,117,0.7139387006890112,0.7139387006890112,,C,size_emacro,72170.90864575274,0.22641057133323483,0.22641057133323483,0.7250379955664266,0.0070792238266707,0.0070792238266707
median_home_value,median owner-occupied home value,size_emacro_drop_D,"size + E_macro pillars, Source D withheld",3138,106,0.6931673254229266,0.6931673254229266,,D,size_emacro,74745.21967044313,0.2056391960671502,0.2056391960671502,0.7042666203003419,0.027850599092755335,0.027850599092755335
median_home_value,median owner-occupied home value,size_emacro_drop_E,"size + E_macro pillars, Source E withheld",3138,111,0.6154811558956816,0.6154811558956816,,E,size_emacro,83674.17398666241,0.12795302653990526,0.12795302653990526,0.626580450773097,0.10553676862000028,0.10553676862000028
median_home_value,median owner-occupied home value,size_emacro_drop_F,"size + E_macro pillars, Source F withheld",3138,101,0.6978508666868726,0.6978508666868726,,F,size_emacro,74172.56471363996,0.2103227373310962,0.2103227373310962,0.7089501615642879,0.023167057828809345,0.023167057828809345
median_home_value,median owner-occupied home value,size_emacro_drop_BE,"size + E_macro pillars, Sources B and E both withheld",3138,71,0.609618564692361,0.609618564692361,,B;E,size_emacro,84309.63283675029,0.12209043533658459,0.12209043533658459,0.6207178595697763,0.11139935982332094,0.11139935982332094
